Country,City,Temp,Lat,Lon,Humidity,Cloudiness,Wind Speed
au,new norfolk,,,,,,
au,albany,,,,,,
id,padang,,,,,,
pf,rikitea,,,,,,
mu,grand river south east,,,,,,
pt,ribeira grande,,,,,,
bo,monteagudo,,,,,,
mx,cabo san lucas,,,,,,
au,hobart,,,,,,
ca,marathon,,,,,,
cl,punta arenas,,,,,,
cn,xiongshi,,,,,,
vn,dong xoai,,,,,,
za,saldanha,,,,,,
cl,punta arenas,,,,,,
ru,tiksi,,,,,,
so,bandarbeyla,,,,,,
ru,khatanga,,,,,,
au,busselton,,,,,,
lr,buchanan,,,,,,
pf,atuona,,,,,,
ru,cherskiy,,,,,,
mg,taolanaro,,,,,,
ca,geraldton,,,,,,
cu,moron,,,,,,
mx,acapulco,,,,,,
au,portland,,,,,,
nz,kaeo,,,,,,
ru,yermakovskoye,,,,,,
ru,amderma,,,,,,
us,fortuna,,,,,,
cl,castro,,,,,,
nz,ngunguru,,,,,,
id,gorontalo,,,,,,
ca,yellowknife,,,,,,
sa,riyadh,,,,,,
pw,meyungs,,,,,,
au,hobart,,,,,,
sh,jamestown,,,,,,
mg,taolanaro,,,,,,
us,lahaina,,,,,,
kz,zhanaozen,,,,,,
pf,faanui,,,,,,
ru,mys shmidta,,,,,,
nz,kaitangata,,,,,,
jp,hasaki,,,,,,
pf,atuona,,,,,,
tc,cockburn town,,,,,,
za,hermanus,,,,,,
gl,ilulissat,,,,,,
in,kavaratti,,,,,,
id,ambulu,,,,,,
ar,rio gallegos,,,,,,
us,lompoc,,,,,,
ru,severo-kurilsk,,,,,,
gl,paamiut,,,,,,
us,bethel,,,,,,
au,albany,,,,,,
ru,beringovskiy,,,,,,
ru,severo-kurilsk,,,,,,
re,saint-philippe,,,,,,
cn,jiamusi,,,,,,
pf,rikitea,,,,,,
au,hobart,,,,,,
py,yataity,,,,,,
ar,ushuaia,,,,,,
za,port elizabeth,,,,,,
ao,luanda,,,,,,
gl,upernavik,,,,,,
cn,xichang,,,,,,
cl,talcahuano,,,,,,
ca,torbay,,,,,,
ru,provideniya,,,,,,
ag,codrington,,,,,,
ir,chabahar,,,,,,
za,bredasdorp,,,,,,
au,new norfolk,,,,,,
pe,paita,,,,,,
au,roebourne,,,,,,
nc,poum,,,,,,
mg,antalaha,,,,,,
za,east london,,,,,,
gl,illoqqortoormiut,,,,,,
ru,oktyabrskiy,,,,,,
tv,asau,,,,,,
pf,mataura,,,,,,
ru,tiksi,,,,,,
cl,punta arenas,,,,,,
au,hobart,,,,,,
us,bethel,,,,,,
ru,belushya guba,,,,,,
gl,qaanaaq,,,,,,
ca,torbay,,,,,,
br,sao felix do xingu,,,,,,
gt,champerico,,,,,,
cl,punta arenas,,,,,,
ru,cherskiy,,,,,,
us,kodiak,,,,,,
nz,tuatapere,,,,,,
vu,isangel,,,,,,
au,busselton,,,,,,
to,vaini,,,,,,
ar,ushuaia,,,,,,
za,port alfred,,,,,,
pw,airai,,,,,,
ne,bilma,,,,,,
au,new norfolk,,,,,,
za,port elizabeth,,,,,,
jp,kanonji,,,,,,
us,kapaa,,,,,,
sh,georgetown,,,,,,
br,vila velha,,,,,,
ca,tuktoyaktuk,,,,,,
ar,ushuaia,,,,,,
pf,rikitea,,,,,,
za,port elizabeth,,,,,,
ru,mys shmidta,,,,,,
no,berlevag,,,,,,
jp,katsuura,,,,,,
au,maningrida,,,,,,
pf,rikitea,,,,,,
au,bowen,,,,,,
nz,ahipara,,,,,,
au,new norfolk,,,,,,
ar,ushuaia,,,,,,
mv,hithadhoo,,,,,,
cl,punta arenas,,,,,,
au,yulara,,,,,,
re,saint-philippe,,,,,,
us,brookhaven,,,,,,
pt,ponta do sol,,,,,,
ec,puerto ayora,,,,,,
ru,talnakh,,,,,,
au,ulladulla,,,,,,
au,carnarvon,,,,,,
lr,harper,,,,,,
au,hobart,,,,,,
za,port alfred,,,,,,
nz,bluff,,,,,,
ag,codrington,,,,,,
gl,upernavik,,,,,,
ru,nizhneyansk,,,,,,
ar,ushuaia,,,,,,
gl,upernavik,,,,,,
za,hermanus,,,,,,
za,east london,,,,,,
us,bethel,,,,,,
ru,nikolskoye,,,,,,
ru,dikson,,,,,,
br,capitao poco,,,,,,
ws,lano,,,,,,
za,port elizabeth,,,,,,
gl,ilulissat,,,,,,
ru,nikolskoye,,,,,,
us,monterey,,,,,,
ru,leningradskiy,,,,,,
us,morgan city,,,,,,
au,busselton,,,,,,
ru,vuktyl,,,,,,
mg,taolanaro,,,,,,
gl,upernavik,,,,,,
in,dwarka,,,,,,
pe,pisco,,,,,,
om,salalah,,,,,,
ca,aklavik,,,,,,
id,mentok,,,,,,
au,portland,,,,,,
sl,goderich,,,,,,
ru,svetlogorsk,,,,,,
nz,bluff,,,,,,
gl,qaanaaq,,,,,,
br,grajau,,,,,,
br,vila velha,,,,,,
sb,kirakira,,,,,,
in,joshimath,,,,,,
mx,san quintin,,,,,,
ar,ushuaia,,,,,,
ml,kangaba,,,,,,
an,westpunt,,,,,,
to,vaini,,,,,,
re,saint-philippe,,,,,,
ru,nizhneyansk,,,,,,
au,new norfolk,,,,,,
mv,hithadhoo,,,,,,
us,nome,,,,,,
re,saint-joseph,,,,,,
za,port alfred,,,,,,
za,cape town,,,,,,
au,busselton,,,,,,
ly,marzuq,,,,,,
ec,salinas,,,,,,
id,banda aceh,,,,,,
bw,sehithwa,,,,,,
ru,cherskiy,,,,,,
us,isla vista,,,,,,
us,rawlins,,,,,,
gl,qaanaaq,,,,,,
au,carnarvon,,,,,,
pf,atuona,,,,,,
us,bemidji,,,,,,
nc,bourail,,,,,,
mg,sambava,,,,,,
mx,guerrero negro,,,,,,
ru,sentyabrskiy,,,,,,
us,kodiak,,,,,,
ma,tarudant,,,,,,
ca,yellowknife,,,,,,
id,singaparna,,,,,,
mg,taolanaro,,,,,,
cv,sao filipe,,,,,,
br,manaus,,,,,,
sa,turayf,,,,,,
pt,ribeira grande,,,,,,
ar,ushuaia,,,,,,
us,hilo,,,,,,
ru,kupino,,,,,,
au,albany,,,,,,
ar,ushuaia,,,,,,
id,waingapu,,,,,,
pt,lagoa,,,,,,
au,busselton,,,,,,
ar,ushuaia,,,,,,
pf,rikitea,,,,,,
ca,tuktoyaktuk,,,,,,
mn,ondorhaan,,,,,,
ar,ushuaia,,,,,,
id,banda aceh,,,,,,
br,sao felix do xingu,,,,,,
au,albany,,,,,,
ca,iroquois falls,,,,,,
au,ballina,,,,,,
br,arraial do cabo,,,,,,
mu,grand river south east,,,,,,
za,saldanha,,,,,,
py,fuerte olimpo,,,,,,
pg,samarai,,,,,,
sh,jamestown,,,,,,
ru,leninskoye,,,,,,
cn,zunyi,,,,,,
mg,taolanaro,,,,,,
ar,mar del plata,,,,,,
ru,chokurdakh,,,,,,
za,port elizabeth,,,,,,
pf,mataura,,,,,,
us,elk plain,,,,,,
ao,namibe,,,,,,
za,kruisfontein,,,,,,
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,18.0,-64.35,-64.35,88.0,75.0,5.7
,,13.0,-72.07,-72.07,66.0,75.0,5.7
,,2.13,39.57,39.57,88.0,68.0,6.36
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,19.46,80.7,80.7,69.0,0.0,1.41
,,26.0,57.76,57.76,88.0,40.0,2.6
,,20.96,-53.46,-53.46,94.0,92.0,7.06
,,28.01,92.75,92.75,100.0,12.0,5.46
,,28.0,55.45,55.45,78.0,92.0,2.1
,,2.0,30.79,30.79,69.0,90.0,7.0
,,-9.12,88.92,88.92,75.0,32.0,3.46
,,19.0,20.04,20.04,88.0,68.0,2.1
,,17.48,-13.05,-13.05,32.0,0.0,0.51
,,-12.27,-69.36,-69.36,87.0,80.0,0.71
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,-6.62,61.52,61.52,88.0,68.0,1.96
,,5.76,44.38,44.38,73.0,0.0,0.66
,,-8.2,29.09,29.09,100.0,64.0,1.56
,,,,,,,
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,15.71,115.35,115.35,100.0,0.0,7.96
,,,,,,,
,,28.0,-104.67,-104.67,10.0,40.0,8.7
,,15.06,-73.65,-73.65,91.0,0.0,9.16
,,6.0,3.3,3.3,75.0,0.0,3.1
,,23.41,146.06,146.06,48.0,0.0,4.76
,,27.0,-104.7,-104.7,69.0,5.0,5.1
,,7.0,141.86,141.86,81.0,75.0,4.1
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,20.44,-122.43,-122.43,71.0,1.0,5.1
,,1.0,-173.23,-173.23,86.0,90.0,3.0
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,-12.2,-133.03,-133.03,85.0,90.0,13.4
,,17.91,135.86,135.86,89.0,56.0,4.36
,,18.23,24.73,24.73,89.0,48.0,3.86
,,31.0,-149.15,-149.15,58.0,20.0,3.6
,,17.81,85.66,85.66,95.0,20.0,1.31
,,28.0,-155.08,-155.08,65.0,1.0,8.7
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,-7.0,-102.99,-102.99,57.0,1.0,3.6
,,-16.0,24.56,24.56,77.0,0.0,2.1
,,2.0,30.79,30.79,69.0,90.0,7.0
,,20.0,25.57,25.57,94.0,40.0,2.6
,,25.36,-80.39,-80.39,78.0,48.0,3.66
,,19.0,20.04,20.04,88.0,68.0,2.1
,,28.0,-159.78,-159.78,83.0,75.0,2.6
,,-4.0,-51.19,-51.19,58.0,0.0,1.0
,,1.16,-45.24,-45.24,100.0,0.0,17.46
,,,,,,,
,,,,,,,
,,17.58,168.33,168.33,83.0,48.0,7.86
,,0.48,12.16,12.16,90.0,8.0,6.36
,,,,,,,
,,24.0,116.27,116.27,100.0,40.0,0.86
,,11.63,46.8,46.8,89.0,64.0,1.31
,,-5.0,-92.84,-92.84,57.0,90.0,9.3
,,7.48,-99.65,-99.65,44.0,20.0,3.41
,,-7.0,-117.29,-117.29,44.0,20.0,3.6
,,22.26,26.89,26.89,90.0,32.0,6.26
,,24.11,-1.63,-1.63,29.0,0.0,3.46
,,26.66,-10.71,-10.71,59.0,64.0,1.21
,,2.0,-161.76,-161.76,80.0,1.0,6.2
,,19.0,20.04,20.04,88.0,68.0,2.1
,,,,,,,
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,26.66,-14.42,-14.42,100.0,8.0,5.96
,,-14.37,114.09,114.09,80.0,64.0,2.96
,,21.66,-24.5,-24.5,95.0,0.0,7.46
,,-3.0,65.99,65.99,90.0,92.0,5.96
,,7.76,34.47,34.47,40.0,0.0,4.11
,,,,,,,
,,-6.45,-56.15,-56.15,87.0,56.0,4.01
,,28.38,116.85,116.85,56.0,36.0,2.06
,,,,,,,
,,,,,,,
,,,,,,,
,,21.21,47.99,47.99,100.0,0.0,1.26
,,23.36,20.65,20.65,40.0,32.0,3.76
,,,,,,,
,,,,,,,
,,20.0,18.42,18.42,72.0,0.0,3.6
,,5.06,97.04,97.04,67.0,0.0,4.01
,,2.0,-161.76,-161.76,80.0,1.0,6.2
,,19.81,7.39,7.39,31.0,8.0,1.46
,,5.0,-128.69,-128.69,30.0,20.0,1.0
,,22.61,0.49,0.49,53.0,0.0,1.36
,,21.96,48.48,48.48,96.0,48.0,2.21
,,25.73,-68.87,-68.87,92.0,12.0,0.86
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,26.48,113.63,113.63,94.0,0.0,4.86
,,25.0,-105.21,-105.21,78.0,5.0,6.2
,,29.0,134.26,134.26,79.0,75.0,1.5
,,13.13,117.88,117.88,89.0,0.0,2.66
,,-12.12,143.24,143.24,72.0,0.0,1.21
,,30.0,122.23,122.23,70.0,0.0,3.1
,,,,,,,
,,6.96,86.15,86.15,57.0,80.0,3.76
,,27.06,49.18,49.18,93.0,64.0,1.66
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,26.0,145.42,145.42,88.0,75.0,5.7
,,15.71,115.35,115.35,100.0,0.0,7.96
,,-12.2,-133.03,-133.03,85.0,90.0,13.4
,,17.91,36.54,36.54,97.0,0.0,1.96
,,-23.65,88.39,88.39,70.0,44.0,6.46
,,-5.87,66.31,66.31,82.0,80.0,3.56
,,19.0,20.04,20.04,88.0,68.0,2.1
,,20.0,18.42,18.42,72.0,0.0,3.6
,,-0.55,-65.72,-65.72,82.0,88.0,7.61
,,18.23,24.73,24.73,89.0,48.0,3.86
,,,,,,,
,,26.48,113.63,113.63,94.0,0.0,4.86
,,27.31,164.69,164.69,91.0,44.0,6.36
,,,,,,,
,,-12.0,15.64,15.64,43.0,0.0,6.2
,,21.0,-67.48,-67.48,49.0,0.0,3.86
,,-0.55,-65.72,-65.72,82.0,88.0,7.61
,,28.0,-159.78,-159.78,83.0,75.0,2.6
,,22.26,26.89,26.89,90.0,32.0,6.26
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,21.66,-24.5,-24.5,95.0,0.0,7.46
,,28.0,55.45,55.45,78.0,92.0,2.1
,,19.0,20.04,20.04,88.0,68.0,2.1
,,6.0,-100.35,-100.35,35.0,1.0,5.7
,,,,,,,
,,17.48,-13.05,-13.05,32.0,0.0,0.51
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,28.86,172.79,172.79,96.0,76.0,6.11
,,28.0,-155.08,-155.08,65.0,1.0,8.7
,,16.02,-16.71,-16.71,93.0,0.0,6.7
,,,,,,,
,,0.68,-147.8,-147.8,76.0,1.0,4.1
,,25.41,119.86,119.86,99.0,12.0,3.11
,,18.36,75.39,75.39,67.0,0.0,1.86
,,15.71,115.35,115.35,100.0,0.0,7.96
,,26.0,57.7,57.7,88.0,40.0,2.6
,,13.13,117.88,117.88,89.0,0.0,2.66
,,27.36,131.25,131.25,100.0,32.0,1.76
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,22.38,16.23,16.23,100.0,68.0,1.41
,,3.11,100.46,100.46,59.0,8.0,3.46
,,15.83,107.51,107.51,99.0,92.0,1.36
,,13.13,117.88,117.88,89.0,0.0,2.66
,,-19.75,147.9,147.9,78.0,0.0,1.56
,,-3.52,155.8,155.8,86.0,88.0,4.81
,,23.73,-5.72,-5.72,100.0,80.0,7.26
,,,,,,,
,,24.21,27.91,27.91,100.0,44.0,9.31
,,15.71,115.35,115.35,100.0,0.0,7.96
,,26.0,57.7,57.7,88.0,40.0,2.6
,,,,,,,
,,11.86,-107.96,-107.96,30.0,1.0,3.1
,,,,,,,
,,,,,,,
,,23.73,-5.72,-5.72,100.0,80.0,7.26
,,-5.42,74.98,74.98,87.0,0.0,4.26
,,-10.0,107.6,107.6,52.0,36.0,1.31
,,22.13,30.37,30.37,94.0,32.0,4.71
,,-5.0,-37.64,-37.64,67.0,92.0,7.7
,,27.41,166.53,166.53,97.0,48.0,8.56
,,4.08,24.36,24.36,97.0,92.0,12.01
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,17.58,168.33,168.33,83.0,48.0,7.86
,,-6.0,14.64,14.64,79.0,0.0,1.5
,,20.0,18.42,18.42,72.0,0.0,3.6
,,23.98,-35.22,-35.22,100.0,92.0,2.56
,,-11.92,109.63,109.63,54.0,20.0,1.61
,,16.0,134.5,134.5,77.0,0.0,2.1
,,16.31,170.5,170.5,69.0,8.0,4.56
,,25.54,-159.32,-159.32,83.0,40.0,2.6
,,13.0,-72.07,-72.07,66.0,75.0,5.7
,,21.91,149.98,149.98,62.0,68.0,1.66
,,15.0,-25.7,-25.7,82.0,75.0,7.7
,,,,,,,
,,17.48,-13.05,-13.05,32.0,0.0,0.51
,,24.0,152.14,152.14,60.0,68.0,4.6
,,,,,,,
,,2.51,133.08,133.08,87.0,12.0,6.56
,,20.0,18.42,18.42,72.0,0.0,3.6
,,19.0,20.04,20.04,88.0,68.0,2.1
,,1.26,52.16,52.16,79.0,0.0,5.16
,,,,,,,
,,17.63,42.5,42.5,39.0,0.0,2.1
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,22.0,-50.87,-50.87,94.0,40.0,0.91
,,20.13,174.5,174.5,100.0,0.0,2.86
,,29.26,161.92,161.92,100.0,64.0,5.46
,,7.48,-99.65,-99.65,44.0,20.0,3.41
,,-3.0,-126.83,-126.83,79.0,75.0,8.2
,,20.96,-53.37,-53.37,94.0,92.0,7.06
,,-2.0,-17.34,-17.34,86.0,90.0,1.5
,,,,,,,
,,,,,,,
,,-1.0,5.65,5.65,80.0,0.0,0.5
,,25.54,-159.32,-159.32,83.0,40.0,2.6
,,16.0,134.5,134.5,77.0,0.0,2.1
,,20.0,25.57,25.57,94.0,40.0,2.6
,,28.0,-159.78,-159.78,83.0,75.0,2.6
,,1.0,-173.23,-173.23,86.0,90.0,3.0
,,21.76,-47.72,-47.72,84.0,76.0,2.66
,,17.36,101.38,101.38,94.0,8.0,0.56
,,-12.2,-133.03,-133.03,85.0,90.0,13.4
,,16.31,-79.44,-79.44,100.0,88.0,0.56
,,21.01,43.89,43.89,93.0,64.0,2.46
,,0.0,48.12,48.12,88.0,90.0,3.0
,,-9.12,57.56,57.56,85.0,92.0,2.46
,,22.46,-1.08,-1.08,96.0,44.0,1.96
,,-12.27,-69.36,-69.36,87.0,80.0,0.71
,,16.0,147.33,147.33,59.0,75.0,7.7
,,,,,,,
,,16.0,147.06,147.06,59.0,75.0,7.7
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,0.98,166.44,166.44,75.0,44.0,2.41
,,17.41,-28.7,-28.7,96.0,76.0,11.16
,,26.0,-59.52,-59.52,74.0,20.0,6.2
,,,,,,,
,,15.46,-119.86,-119.86,82.0,90.0,4.1
,,23.73,-5.72,-5.72,100.0,80.0,7.26
,,15.06,-73.65,-73.65,91.0,0.0,9.16
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,-3.2,178.42,178.42,94.0,0.0,2.86
,,,,,,,
,,-16.0,-68.52,-68.52,84.0,90.0,12.9
,,30.0,122.23,122.23,70.0,0.0,3.1
,,27.0,46.32,46.32,88.0,20.0,2.1
,,26.0,-90.35,-90.35,78.0,40.0,7.2
,,-3.0,-94.76,-94.76,79.0,90.0,3.1
,,15.71,115.35,115.35,100.0,0.0,7.96
,,17.41,-28.7,-28.7,96.0,76.0,11.16
,,17.58,168.33,168.33,83.0,48.0,7.86
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,-11.0,-114.38,-114.38,47.0,20.0,4.1
,,2.0,30.79,30.79,69.0,90.0,7.0
,,28.0,-155.08,-155.08,65.0,1.0,8.7
,,,,,,,
,,24.31,122.88,122.88,100.0,24.0,0.76
,,-4.0,8.49,8.49,85.0,36.0,2.6
,,-7.65,65.43,65.43,86.0,20.0,2.46
,,-12.27,-69.36,-69.36,87.0,80.0,0.71
,,22.26,26.89,26.89,90.0,32.0,6.26
,,26.0,57.7,57.7,88.0,40.0,2.6
,,17.58,168.33,168.33,83.0,48.0,7.86
,,24.91,117.25,117.25,94.0,80.0,1.26
,,17.0,-17.03,-17.03,88.0,0.0,6.2
,,-11.0,-114.38,-114.38,47.0,20.0,4.1
,,-11.0,-114.38,-114.38,47.0,20.0,4.1
,,28.0,-175.2,-175.2,78.0,75.0,2.1
,,-2.99,-90.4,-90.4,92.0,90.0,3.1
,,13.13,117.88,117.88,89.0,0.0,2.66
,,,,,,,
,,,,,,,
,,22.36,-46.17,-46.17,73.0,8.0,1.46
,,16.0,147.06,147.06,59.0,75.0,7.7
,,13.13,117.88,117.88,89.0,0.0,2.66
,,26.88,100.36,100.36,100.0,32.0,3.01
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,,,,,,
,,17.41,-28.7,-28.7,96.0,76.0,11.16
,,25.0,-63.96,-63.96,83.0,75.0,0.91
,,30.54,-109.91,-109.91,9.0,20.0,5.1
,,16.0,147.33,147.33,59.0,75.0,7.7
,,-5.25,-86.38,-86.38,81.0,48.0,6.61
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,,,,,,
,,23.56,106.92,106.92,83.0,12.0,1.76
,,17.0,17.94,17.94,88.0,48.0,2.1
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,-17.25,128.87,128.87,71.0,64.0,1.31
,,27.11,50.81,50.81,100.0,92.0,2.86
,,-22.15,102.47,102.47,78.0,64.0,5.06
,,15.71,115.35,115.35,100.0,0.0,7.96
,,26.0,-10.05,-10.05,94.0,40.0,2.86
,,27.66,-139.03,-139.03,100.0,0.0,5.71
,,-1.5,161.3,161.3,76.0,0.0,3.66
,,,,,,,
,,-6.0,-86.95,-86.95,57.0,90.0,4.1
,,24.0,-78.63,-78.63,73.0,40.0,5.7
,,28.0,-99.88,-99.88,83.0,5.0,4.1
,,21.91,149.98,149.98,62.0,68.0,1.66
,,21.88,173.78,173.78,57.0,0.0,1.61
